annee_naissance,age,nb_hommes,nb_femmes
2011,0,420230,402391
2010,1,421749,403787
2009,2,417304,399278
2008,3,406612,388870
2007,4,405892,388570
2006,5,414173,395655
2005,6,406870,389798
2004,7,406121,387591
2003,8,405806,389178
2002,9,412429,391898
2001,10,418138,400147
2000,11,428514,407001
1999,12,412252,392410
1998,13,409328,389121
1997,14,404275,382990
1996,15,407808,387932
1995,16,404471,386943
1994,17,393846,377809
1993,18,392453,376590
1992,19,412671,396366
1991,20,414980,403175
1990,21,418549,405477
1989,22,414838,407298
1988,23,414644,406015
1987,24,404859,401947
1986,25,403116,405288
1985,26,396981,401915
1984,27,388019,396374
1983,28,382134,389496
1982,29,406443,416287
1981,30,410364,422866
1980,31,416157,428957
1979,32,395250,405942
1978,33,387876,396227
1977,34,394050,402238
1976,35,384957,392159
1975,36,397647,405174
1974,37,420914,429674
1973,38,445510,454438
1972,39,459200,467279
1971,40,458803,466876
1970,41,449601,458689
1969,42,442687,452972
1968,43,440105,451747
1967,44,439398,449717
1966,45,448357,461912
1965,46,450784,463256
1964,47,454069,469868
1963,48,447673,465253
1962,49,432883,450796
1961,50,433513,451151
1960,51,430584,448490
1959,52,427256,447016
1958,53,414679,439354
1957,54,414604,437342
1956,55,409852,436222
1955,56,405479,433597
1954,57,406026,431953
1953,58,396905,424292
1952,59,403582,431835
1951,60,394806,420355
1950,61,410640,437535
1949,62,402234,430217
1948,63,402052,427505
1947,64,391012,418311
1946,65,368862,397283
1945,66,276948,302262
1944,67,269167,297703
1943,68,260639,288004
1942,69,241404,269355
1941,70,211514,241145
1940,71,217922,253632
1939,72,224378,268400
1938,73,215877,265545
1937,74,208991,260651
1936,75,205741,264336
1935,76,195353,260278
1934,77,193672,263343
1933,78,179483,254691
1932,79,178223,260203
1931,80,164605,250301
1930,81,157853,247912
1929,82,138075,226664
1928,83,126198,217470
1927,84,112646,203786
1926,85,101038,192204
1925,86,89419,178894
1924,87,75381,161302
1923,88,64199,146396
1922,89,54897,131158
1921,90,46464,117028
1920,91,37857,100535
1919,92,17105,50895
1918,93,11237,37467
1917,94,7268,27341
1916,95,4802,19744
1915,96,4096,18177
1914,97,4543,20895
1913,98,2476,14496
1912,99,1341,9621
1911,100,1980,15584
