code_insee;libelle;libcom;cugt;code_fantoir
31003;Aigrefeuille;AIGREFEUILLE;true;310003
31022;Aucamville;AUCAMVILLE;true;310022
31032;Aussonne;AUSSONNE;true;310032
31186;Fonbeauzard;FONBEAUZARD;true;310186
31044;Balma;BALMA;true;310044
31053;Beaupuy;BEAUPUY;true;310053
31056;Beauzelle;BEAUZELLE;true;310056
31088;Brax;BRAX;true;310088
31091;Bruguières;BRUGUIERES;true;310091
31116;Castelginest;CASTELGINEST;true;310116
31149;Colomiers;COLOMIERS;true;310149
31157;Cugnaux;CUGNAUX;true;310157
31163;Drémil-Lafage;DREMIL-LAFAGE;true;310163
31184;Flourens;FLOURENS;true;310184
31205;Gagnac-sur-Garonne;GAGNAC-SUR-GARONNE;true;310205
31467;Saint-Alban;ST-ALBAN;true;310467
31588;Villeneuve-Tolosane;VILLENEUVE-TOLOSANE;true;310588
31445;Quint-Fonsegrives;QUINT;true;310445
31488;Saint-Jean;ST-JEAN;true;310488
31230;Gratentour;GRATENTOUR;true;310230
31561;L'Union;UNION;true;310561
31282;Launaguet;LAUNAGUET;true;310282
31351;Mondonville;MONDONVILLE;true;310351
31293;Lespinasse;LESPINASSE;true;310293
31352;Mondouzil;MONDOUZIL;true;310352
31355;Mons;MONS;true;310355
31389;Montrabé;MONTRABE;true;310389
31417;Pibrac;PIBRAC;true;310417
31506;Saint-Orens-de-Gameville;ST-ORENS-DE-GAMEVILLE;true;310506
31557;Tournefeuille;TOURNEFEUILLE;true;310557
31555;Toulouse;TOULOUSE;true;310555
31069;Blagnac;BLAGNAC;true;310069
31541;Seilh;SEILH;true;310541
31150;Cornebarrieu;CORNEBARRIEU;true;310150
31182;Fenouillet;FENOUILLET;true;310182
31418;Pin-Balma;PIN-BALMA;true;310418
31490;Saint-Jory;SAINT-JORY;true;310490
